duration_seconds,cpu0_package_joules,cpu0_core_joules,cpu0_uncore_joules,cpu0_dram_joules,image,library
1.717931,3.526306,2.287598,0.040588,1.055359,100Kb,pillow
1.629459,3.291016,2.210205,0.022827,0.954895,100Kb,pillow
1.839061,3.667480,2.408813,0.021545,1.071289,100Kb,pillow
1.628982,3.581909,2.370544,0.041809,1.011963,100Kb,pillow
1.625131,3.204834,2.137024,0.019836,0.950256,100Kb,pillow
1.630122,3.565491,2.359680,0.043152,1.000732,100Kb,pillow
1.526643,3.143799,2.081909,0.020813,0.897705,100Kb,pillow
1.622007,3.178894,2.102905,0.021973,0.944519,100Kb,pillow
1.732287,3.641602,2.373352,0.040405,1.059631,100Kb,pillow
1.631332,3.263855,2.189636,0.021973,0.947449,100Kb,pillow
1.731503,3.593445,2.391052,0.041687,1.048584,100Kb,pillow
1.629011,3.267517,2.179077,0.019775,0.950378,100Kb,pillow
1.730603,3.413574,2.297119,0.020996,1.003357,100Kb,pillow
1.528403,3.376221,2.335510,0.041077,0.942627,100Kb,pillow
1.623400,3.177795,2.104309,0.020142,0.947937,100Kb,pillow
1.732155,3.412048,2.219788,0.022522,1.009766,100Kb,pillow
1.629406,3.331909,2.266724,0.020935,0.954895,100Kb,pillow
1.730785,3.346436,2.256042,0.021729,1.000977,100Kb,pillow
1.629958,3.564087,2.320068,0.042786,1.001709,100Kb,pillow
1.630405,3.421326,2.275208,0.036682,0.975037,100Kb,pillow
1.735022,3.439880,2.325317,0.022278,1.018311,100Kb,pillow
1.626760,3.637085,2.406494,0.061279,1.024414,100Kb,pillow
1.431843,3.292847,2.224365,0.039246,0.878052,100Kb,pillow
1.630596,3.466919,2.314819,0.044800,1.011169,100Kb,pillow
1.629227,3.472595,2.370483,0.022766,0.952820,100Kb,pillow
1.731029,3.542603,2.366211,0.021912,1.014038,100Kb,pillow
1.520181,3.629395,2.484741,0.041016,0.960510,100Kb,pillow
1.629614,3.227722,2.178223,0.021179,0.952637,100Kb,pillow
1.486240,3.241516,2.148499,0.040344,0.911987,100Kb,pillow
1.569518,3.453247,2.290771,0.037537,0.942566,100Kb,pillow
1.938912,3.820435,2.522461,0.023682,1.121216,100Kb,pillow
1.735024,3.748169,2.550659,0.045959,1.063660,100Kb,pillow
1.526713,3.301208,2.213562,0.021118,0.910095,100Kb,pillow
