compute_time,download_size,download_time,video,library,upload_size,upload_time
1.401242,1000002,2.687286,1Mb,imageio,7927818,4.115615
1.395685,1000002,2.180618,1Mb,imageio,7927818,4.671439
1.411128,1000002,3.330325,1Mb,imageio,7927818,3.965463
1.391482,1000002,2.706061,1Mb,imageio,7927818,8.075575
1.403928,1000002,3.223671,1Mb,imageio,7927818,5.948633
1.393892,1000002,2.350315,1Mb,imageio,7927818,3.742509
1.44324,1000002,2.633371,1Mb,imageio,7927818,9.801785
1.394098,1000002,3.310966,1Mb,imageio,7927818,4.212989
1.394094,1000002,2.816136,1Mb,imageio,7927818,5.468919
1.41603,1000002,1.655375,1Mb,imageio,7927818,4.660237
1.41123,1000002,1.817765,1Mb,imageio,7927818,4.128194
1.414445,1000002,2.490804,1Mb,imageio,7927818,7.070628
1.343349,1000002,1.632562,1Mb,opencv,7932321,7.150235
1.351965,1000002,1.579042,1Mb,opencv,7932321,3.941153
1.345276,1000002,3.442376,1Mb,opencv,7932321,4.584406
1.342325,1000002,2.884343,1Mb,opencv,7932321,4.433811
1.373481,1000002,2.340867,1Mb,opencv,7932321,4.84348
1.331709,1000002,1.826162,1Mb,opencv,7932321,4.062306
1.338265,1000002,3.152616,1Mb,opencv,7932321,3.879619
1.365283,1000002,2.450378,1Mb,opencv,7932321,3.937559
1.338301,1000002,2.966735,1Mb,opencv,7932321,4.009552
1.341884,1000002,1.724291,1Mb,opencv,7932321,3.887453
1.338517,1000002,2.597793,1Mb,opencv,7932321,4.583085
1.340289,1000002,3.95811,1Mb,opencv,7932321,4.381818
1.345528,1000002,2.528265,1Mb,opencv,7932321,10.110664
1.332033,1000002,1.723362,1Mb,opencv,7932321,4.119481
1.370767,1000002,4.526887,1Mb,opencv,7932321,9.00241
1.333697,1000002,2.319257,1Mb,opencv,7932321,3.939916
1.336921,1000002,2.520514,1Mb,opencv,7932321,3.893348
1.367314,1000002,2.776783,1Mb,opencv,7932321,10.14108
1.350433,1000002,2.173495,1Mb,opencv,7932321,8.719587
1.338743,1000002,2.476334,1Mb,opencv,7932321,3.687123
1.454488,1000002,3.180524,1Mb,opencv,7932321,6.958751
1.351496,1000002,2.663826,1Mb,opencv,7932321,7.29685
1.33806,1000002,2.606076,1Mb,opencv,7932321,5.111885
1.335184,1000002,1.643592,1Mb,opencv,7932321,7.521777
1.367529,1000002,3.34398,1Mb,opencv,7932321,3.801748
1.339604,1000002,2.861338,1Mb,opencv,7932321,8.77308
1.341643,1000002,2.632973,1Mb,opencv,7932321,3.993851
1.359871,1000002,2.915151,1Mb,opencv,7932321,14.23604
1.33867,1000002,1.583247,1Mb,opencv,7932321,3.742716
1.340065,1000002,3.257664,1Mb,opencv,7932321,7.644997
1.347754,1000002,3.172239,1Mb,opencv,7932321,3.939327
1.347013,1000002,2.646524,1Mb,opencv,7932321,9.119858
1.341891,1000002,3.254202,1Mb,opencv,7932321,3.71345
1.345539,1000002,2.438333,1Mb,opencv,7932321,3.900714
1.363583,1000002,2.362439,1Mb,opencv,7932321,3.961611
1.331375,1000002,2.368781,1Mb,opencv,7932321,9.046447
1.346195,1000002,2.554326,1Mb,opencv,7932321,5.126327
1.367628,1000002,3.001349,1Mb,opencv,7932321,5.825121
1.355514,1000002,1.818197,1Mb,opencv,7932321,4.621686
1.347651,1000002,2.48976,1Mb,opencv,7932321,9.693045
1.344856,1000002,2.563221,1Mb,opencv,7932321,4.237012
1.338167,1000002,2.496205,1Mb,opencv,7932321,5.332905
1.347772,1000002,1.876117,1Mb,opencv,7932321,4.72456
1.336475,1000002,2.488778,1Mb,opencv,7932321,7.077611
