duration_seconds,cpu0_package_joules,cpu0_core_joules,cpu0_uncore_joules,cpu0_dram_joules,video,library
4.301866,9.606995,6.682495,0.004639,2.384216,540Kb,ffmpeg
4.632417,10.005432,6.950867,0.004639,2.558472,540Kb,ffmpeg
5.213126,10.656372,7.336548,0.004211,2.873474,540Kb,ffmpeg
6.654770,12.826233,8.552002,0.005188,3.654175,540Kb,ffmpeg
3.982232,9.855591,7.136597,0.005188,2.223450,540Kb,ffmpeg
3.868499,8.845764,6.178345,0.004578,2.144226,540Kb,ffmpeg
3.557356,14.743042,12.059021,0.004578,2.204468,540Kb,ffmpeg
5.124770,11.025452,7.748535,0.004578,2.839905,540Kb,ffmpeg
6.869072,13.592957,9.113953,0.005005,3.767090,540Kb,ffmpeg
4.192029,9.260254,6.523682,0.005005,2.304138,540Kb,ffmpeg
4.189131,9.182556,6.484497,0.005005,2.308655,540Kb,ffmpeg
4.618124,12.574524,9.050171,0.005005,2.532837,540Kb,ffmpeg
5.680128,11.189697,7.644165,0.005310,3.125793,540Kb,ffmpeg
5.241219,10.916504,7.555237,0.005127,2.889709,540Kb,ffmpeg
5.541211,11.104553,7.608887,0.005127,3.029724,540Kb,ffmpeg
6.470014,12.250671,8.212952,0.005127,3.509155,540Kb,ffmpeg
5.576760,11.118469,7.528015,0.005127,3.049805,540Kb,ffmpeg
4.010365,9.878601,7.213562,0.003845,2.233765,540Kb,ffmpeg
4.506280,9.867432,6.918030,0.003845,2.490356,540Kb,ffmpeg
6.718284,12.725342,8.570374,0.003845,3.654907,540Kb,ffmpeg
4.391548,9.606384,6.670715,0.003845,2.424500,540Kb,ffmpeg
3.574366,8.566711,6.029663,0.003845,1.974792,540Kb,ffmpeg
4.052198,9.211487,6.463684,0.003845,2.242554,540Kb,ffmpeg
6.221095,11.948975,8.087402,0.003845,3.380615,540Kb,ffmpeg
4.239710,10.135376,7.316650,0.003845,2.337219,540Kb,ffmpeg
4.548987,9.661926,6.744202,0.003845,2.494873,540Kb,ffmpeg
6.180910,11.944763,8.082031,0.003845,3.373108,540Kb,ffmpeg
4.185998,9.516113,6.648315,0.003174,2.328674,540Kb,ffmpeg
4.328000,14.919983,10.785828,0.003174,2.289429,540Kb,ffmpeg
4.461251,10.562683,7.299683,0.005066,2.452637,540Kb,ffmpeg
4.144756,9.339844,6.566528,0.003723,2.296936,540Kb,ffmpeg
3.993481,9.991089,7.273560,0.003723,2.231079,540Kb,ffmpeg
6.828084,13.359314,8.993164,0.003845,3.771790,540Kb,ffmpeg
4.250144,9.501709,6.669373,0.003845,2.340881,540Kb,ffmpeg
3.678757,8.547974,6.046997,0.003845,2.034546,540Kb,ffmpeg
6.247925,12.083923,8.098206,0.003845,3.404419,540Kb,ffmpeg
4.083297,9.095215,6.467346,0.003845,2.246948,540Kb,ffmpeg
3.632060,8.477417,6.039551,0.003845,2.001282,540Kb,ffmpeg
4.913840,11.751587,8.530029,0.003845,2.719360,540Kb,ffmpeg
5.505370,11.079102,7.600464,0.003845,3.008423,540Kb,ffmpeg
7.906256,14.528687,9.520447,0.003845,4.296753,540Kb,ffmpeg
4.007313,8.981506,6.304138,0.005371,2.221985,540Kb,ffmpeg
4.175058,9.107239,6.365540,0.005371,2.293518,540Kb,ffmpeg
4.307760,9.323792,6.504211,0.005371,2.382080,540Kb,ffmpeg
5.559768,12.154480,8.566833,0.005371,3.066040,540Kb,ffmpeg
5.108109,10.446960,7.233948,0.005371,2.805176,540Kb,ffmpeg
4.861379,10.160095,7.019409,0.005371,2.666382,540Kb,ffmpeg
3.516649,9.700195,6.966431,0.005371,1.937256,540Kb,ffmpeg
6.750228,12.883118,8.601685,0.003845,3.710449,540Kb,ffmpeg
4.510317,9.606750,6.657532,0.003845,2.492432,540Kb,ffmpeg
3.998078,9.114380,6.368958,0.003845,2.204895,540Kb,ffmpeg
3.870868,9.564697,6.940308,0.003845,2.139221,540Kb,ffmpeg
6.671390,12.360535,8.359680,0.003845,3.646057,540Kb,ffmpeg
4.185924,9.339600,6.583008,0.003845,2.304688,540Kb,ffmpeg
6.811548,13.228455,8.843628,0.010010,3.740662,540Kb,ffmpeg
4.993275,10.523132,7.269226,0.005554,2.755310,540Kb,ffmpeg
3.951892,9.033691,6.345093,0.005554,2.190918,540Kb,ffmpeg
5.178978,10.564392,7.253479,0.005554,2.844482,540Kb,ffmpeg
5.563431,12.026245,8.422180,0.005554,3.050354,540Kb,ffmpeg
3.710375,8.628662,6.147217,0.005554,2.047546,540Kb,ffmpeg
5.209614,10.571838,7.285461,0.005005,2.870300,540Kb,ffmpeg
11.465040,31.348389,22.016357,0.141602,6.750854,540Kb,imageio
7.384664,25.075745,18.346680,0.059143,4.384399,540Kb,imageio
17.995842,40.975220,27.704285,0.139832,10.308044,540Kb,imageio
11.253787,30.712463,21.878906,0.098511,6.552063,540Kb,imageio
10.850307,29.592407,21.882812,0.016785,6.145508,540Kb,imageio
7.364780,23.217041,17.656006,0.016785,4.193665,540Kb,imageio
7.300726,22.460999,17.116150,0.016785,4.116394,540Kb,imageio
11.012978,28.829224,21.035217,0.004578,6.152649,540Kb,imageio
7.905035,24.603516,18.553223,0.005554,4.480896,540Kb,imageio
13.070759,31.374451,22.336548,0.009949,7.254822,540Kb,imageio
7.371520,23.676453,17.914978,0.009949,4.174194,540Kb,imageio
7.261906,23.796143,18.266052,0.009949,4.116516,540Kb,imageio
7.163562,23.132874,17.608154,0.005066,4.092957,540Kb,imageio
7.464503,23.237976,17.737000,0.004822,4.239563,540Kb,imageio
11.152325,29.063049,21.209351,0.004822,6.216919,540Kb,imageio
7.464272,24.712158,18.698425,0.005371,4.254150,540Kb,imageio
9.142426,24.949036,18.678528,0.005371,5.095581,540Kb,imageio
7.532434,22.719299,17.205811,0.005371,4.226257,540Kb,imageio
8.905107,24.859619,18.703918,0.005371,4.984741,540Kb,imageio
7.469877,24.095398,18.254578,0.005371,4.209473,540Kb,imageio
7.882824,23.508667,17.652283,0.005371,4.441711,540Kb,imageio
11.131830,28.918762,21.078491,0.005371,6.191528,540Kb,imageio
7.377400,23.747986,17.882263,0.004944,4.224487,540Kb,imageio
12.283575,30.370728,22.316772,0.004944,6.843018,540Kb,imageio
