compute_time,download_size,download_time,image,library,upload_size,upload_time
0.00968,100000,1.235758,100Kb,wand,3025,0.448448
0.009646,100000,1.383392,100Kb,wand,3025,0.503434
0.0099,100000,1.12469,100Kb,wand,3025,0.456656
0.009617,100000,1.217256,100Kb,wand,3025,0.366795
0.009681,100000,1.327743,100Kb,wand,3025,0.458067
0.00969,100000,6.307058,100Kb,wand,3025,0.394899
0.00965,100000,1.693401,100Kb,wand,3025,0.399807
0.009794,100000,1.19348,100Kb,wand,3025,0.488966
0.009847,100000,1.128776,100Kb,wand,3025,0.349886
0.009651,100000,1.235325,100Kb,wand,3025,0.450467
0.009733,100000,1.186352,100Kb,wand,3025,0.393956
0.00966,100000,1.185812,100Kb,wand,3025,0.394609
0.009761,100000,1.215571,100Kb,wand,3025,0.365858
0.009658,100000,1.127462,100Kb,wand,3025,0.454826
0.009666,100000,1.289981,100Kb,wand,3025,0.392914
0.009743,100000,1.290244,100Kb,wand,3025,0.394619
0.00961,100000,1.492114,100Kb,wand,3025,0.396486
0.009698,100000,1.129164,100Kb,wand,3025,0.454451
0.009688,100000,1.284567,100Kb,wand,3025,0.399877
0.009628,100000,1.001579,100Kb,wand,3025,0.375441
0.009689,100000,1.187683,100Kb,wand,3025,0.393961
0.009724,100000,1.230197,100Kb,wand,3025,0.452887
0.009758,100000,1.287563,100Kb,wand,3025,0.395235
0.00969,100000,1.184572,100Kb,wand,3025,0.394618
0.009671,100000,1.185843,100Kb,wand,3025,0.395114
0.009608,100000,1.293367,100Kb,wand,3025,0.598176
0.009672,100000,1.429888,100Kb,wand,3025,0.353759
0.009631,100000,0.967168,100Kb,wand,3025,0.410545
0.009765,100000,1.122958,100Kb,wand,3025,0.360186
0.010162,100000,1.184778,100Kb,wand,3025,0.481691
0.009705,100000,1.337648,100Kb,wand,3025,0.364554
0.009761,100000,1.141117,100Kb,wand,3025,0.442103
0.009697,100000,1.226907,100Kb,wand,3025,0.558816
0.009701,100000,1.384805,100Kb,wand,3025,0.400783
0.009669,100000,1.179759,100Kb,wand,3025,0.503688
0.009691,100000,1.053658,100Kb,wand,3025,0.429276
0.00975,100000,1.268277,100Kb,wand,3025,0.392235
0.009657,100000,1.190758,100Kb,wand,3025,0.393136
0.351749,100000,1.336373,100Kb,pygame,2134,0.502943
0.363388,100000,1.20866,100Kb,pygame,2134,0.406508
0.113191,100000,1.384878,100Kb,pygame,2134,0.501911
0.113204,100000,1.131712,100Kb,pygame,2134,0.447083
0.125527,100000,1.283829,100Kb,pygame,2134,0.386321
0.112943,100000,1.177305,100Kb,pygame,2134,0.401393
0.113157,100000,1.140197,100Kb,pygame,2134,0.320124
0.112964,100000,1.233826,100Kb,pygame,2134,0.469331
0.12762,100000,1.28896,100Kb,pygame,2134,0.481944
0.131359,100000,1.189022,100Kb,pygame,2134,0.476737
0.127008,100000,1.231,100Kb,pygame,2134,0.440193
0.113104,100000,1.134432,100Kb,pygame,2134,0.445715
0.113032,100000,1.292694,100Kb,pygame,2134,0.392783
0.134033,100000,1.185932,100Kb,pygame,2134,0.474751
